strategy_name,symbol,entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,price_pnl_R,fee_slippage_R,funding_pnl_R,equity_after,bars_held
weekend_wick,ARBUSDT,2026-06-06 02:00:00+00:00,2026-06-06 02:02:00+00:00,LONG,0.0796,0.0801,0.0801,0.078804,TP,0.467782,0.567782,0.16,0.0,14.044114,0
weekend_wick,ARBUSDT,2026-06-06 04:00:00+00:00,2026-06-06 04:01:00+00:00,LONG,0.075,0.0788,0.0788,0.07385,TP,3.19803,3.263247,0.104348,0.0,20.781138,0
weekend_wick,ARBUSDT,2026-06-13 07:00:00+00:00,2026-06-13 07:01:00+00:00,SHORT,0.08567,0.08503,0.08503,0.0865267,TP,0.587483,0.687483,0.16,0.0,22.612422,0
weekend_wick,ARBUSDT,2026-06-21 21:00:00+00:00,2026-06-21 21:02:00+00:00,LONG,0.08228,0.08275,0.08286,0.0814572,TIME,0.410896,0.510896,0.16,0.0,24.006124,0
weekend_wick,ARBUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,0.08179,0.08214,0.08228,0.0809721,TIME,0.267686,0.367686,0.16,0.0,24.970041,0
weekend_wick,OPUSDT,2026-05-17 23:00:00+00:00,2026-05-17 23:01:00+00:00,LONG,0.1281,0.1302,0.1302,0.1264,TP,1.114002,1.189355,0.120565,0.0,8.169702,0
weekend_wick,OPUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,0.1233,0.1255,0.1255,0.122067,TP,1.623214,1.723214,0.16,0.0,10.158878,0
weekend_wick,OPUSDT,2026-06-13 06:00:00+00:00,2026-06-13 06:01:00+00:00,SHORT,0.1039,0.1021,0.1021,0.104939,TP,1.573457,1.673457,0.16,0.0,12.556561,0
weekend_wick,OPUSDT,2026-06-13 07:00:00+00:00,2026-06-13 07:01:00+00:00,SHORT,0.1057,0.1039,0.1039,0.106757,TP,1.543937,1.643937,0.16,0.0,15.464542,0
weekend_wick,OPUSDT,2026-06-13 08:00:00+00:00,2026-06-13 08:01:00+00:00,SHORT,0.1068,0.1057,0.1057,0.107868,TP,0.870563,0.970563,0.16,0.0,17.48397,0
weekend_wick,OPUSDT,2026-06-13 09:00:00+00:00,2026-06-13 09:02:00+00:00,SHORT,0.1081,0.1075,0.1068,0.109181,TIME,0.395357,0.495357,0.16,0.0,18.520831,0
weekend_wick,OPUSDT,2026-06-14 21:00:00+00:00,2026-06-14 21:01:00+00:00,SHORT,0.1083,0.1057,0.1057,0.109383,TP,2.242162,2.342162,0.16,0.0,24.749835,0
weekend_wick,OPUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,0.0996,0.1004,0.1007,0.098604,TIME,0.642749,0.742749,0.16,0.0,27.136025,0
weekend_wick,SUIUSDT,2026-05-23 20:00:00+00:00,2026-05-23 20:01:00+00:00,SHORT,1.098,1.0547,1.0547,1.110375,TP,3.35911,3.447838,0.141964,0.0,10.527066,0
weekend_wick,SUIUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,1.0101,1.0272,1.0272,0.999999,TP,1.531904,1.631904,0.16,0.0,12.946034,0
weekend_wick,SUIUSDT,2026-05-31 14:00:00+00:00,2026-05-31 14:02:00+00:00,LONG,0.8761,0.8967,0.9011,0.862125,TIME,1.372883,1.435574,0.100305,0.0,15.612043,0
